ST. Anthonys Distributor (2024 -2025),,,,
ORANGE MAIN LOCATION,,,,
Location Summary,,,,
1-Jan-26 to 1-Jun-26,,,,
,ORANGE MAIN LOCATION,,,
,ST. Anthonys Distributor (2024 -2025),,,
Particulars,1-Jan-26 to 1-Jun-26,,,
,Closing Balance,,,
,Quantity,Rate,Value,
145-1005 (ORANGE EN 10A 1W 5G SWITCH C/WHITE),1 NOS,1710.00,1710.00,
145-1008 (ORANGE EN 10A 2W 1G BELL PRESS C/WHITE),12 NOS,460.00,5520.00,
145-1011 (ORANGE EN 10A 2W 1G SWITCH C/WHITE),19 NOS,330.00,6270.00,
145-1015 (ORANGE EN 10A 2WAY 5G SWITCH C/WHITE),,,,
145-1017 (ORANGE EN 400W LIGHT DIMMER C/WHITE),6 NOS,,,
145-1018 (ORANGE EN 400W FAN SPEED CONTROLLER C/WHITE),4 NOS,1160.00,4640.00,
145-1021 (ORANGE EN 20A D/Pole Indicator C/White),,,,
145-1072 (ORANGE EN 13A SOCKET OUTLET C/WHITE),,,,
146-1023 (ORANGE EN 5 STEP FAN CNTRL STONE BLACK),,,,
147-1003 (ORANGE EN 1W 3G SWITCH GUNMETAL M),16 NOS,669.00,10704.00,
147-1004 (ORANGE EN 1W 4G SWITCH GUNMETAL M),139 NOS,965.40,134190.30,
147-1005 (ORANGE EN 1W 5G SWITCH GUNMETAL M),16 NOS,925.00,14800.00,
147-1008 (ORANGE EN 2W 1G BELLPRESS SW GUNMETAL M),40 NOS,595.00,23800.00,
147-1013 (ORANGE EN 2W 3G SWITCH GUNMETAL M),5 NOS,860.00,4300.00,
147-1014 (ORANGE EN 2W 4G SWITCH GUNMETAL M),,,,
147-1016 (ORANGE EN 2W 6G SWITCH GUNMETAL M),14 NOS,1690.00,23660.00,
147-1017 (ORANGE EN 400W LIGHT DIMMER GUNMETAL M),36 NOS,1475.00,53100.00,
147-1021 (ORANGE EN 20A D/P INDIC SW GUNMETAL M),23 NOS,1533.32,35266.36,
147-1023 (ORANGE EN 5 STEP FAN CNTRL GUNMETAL M),17 NOS,1375.00,23375.00,
147-1075 (ORANGE EN 1G 4WIRE TPHONE SO GUNMETAL M),8 NOS,1170.00,9360.00,
147-1076 (ORANGE EN TV SOCKET OUTLET GUNMETAL M),28 NOS,1090.00,30520.00,
150-1001 (ORANGE EN 1W 1G SWITCH M/NIGHT GREEN),2 NOS,360.00,720.00,
150-1002 (ORANGE EN 1W 2G SWITCH M/NIGHT GREEN),2 NOS,1160.00,2320.00,
150-1004 (ORANGE EN 1W 4G SWITCH M/NIGHT GREEN),4 NOS,1970.00,7880.00,
150-1005 (ORANGE EN 1W 5G SWITCH M/NIGHT GREEN),5 NOS,2320.00,11600.00,
150-1011 (ORANGE EN 2W 1G SWITCH M/NIGHT GREEN),4 NOS,475.00,1900.00,
150-1012 (ORANGE EN 2W 2G SWITCH M/NIGHT GREEN),1 NOS,1710.00,1710.00,
